filename,query,pred_bbox_subject,iou
/projects/katefgroup/language_grounding/VG/images/1.jpg,man wears sneaker,"[359, 251, 472, 512]",tensor(0.)
/projects/katefgroup/language_grounding/VG/images/1.jpg,sign on building,"[561, 268, 764, 475]",tensor(0.)
/projects/katefgroup/language_grounding/VG/images/1.jpg,man has shirt,"[229, 273, 292, 498]",tensor(0.7630)
/projects/katefgroup/language_grounding/VG/images/1.jpg,sidewalk near street,"[561, 268, 764, 475]",tensor(0.1578)
/projects/katefgroup/language_grounding/VG/images/1.jpg,man has glass,"[359, 251, 472, 512]",tensor(0.)
/projects/katefgroup/language_grounding/VG/images/1.jpg,man wears sneaker,"[359, 251, 472, 512]",tensor(0.)
/projects/katefgroup/language_grounding/VG/images/1.jpg,man has shoe,"[359, 251, 472, 512]",tensor(0.6416)
/projects/katefgroup/language_grounding/VG/images/1.jpg,man has shirt,"[229, 273, 292, 498]",tensor(0.7630)
/projects/katefgroup/language_grounding/VG/images/1.jpg,man wears pant,"[359, 251, 472, 512]",tensor(0.)
/projects/katefgroup/language_grounding/VG/images/1.jpg,man has shirt,"[229, 273, 292, 498]",tensor(0.)
/projects/katefgroup/language_grounding/VG/images/1.jpg,man has pant,"[359, 251, 472, 512]",tensor(0.6416)
/projects/katefgroup/language_grounding/VG/images/1.jpg,bike parked on sidewalk,"[561, 268, 764, 475]",tensor(0.)
/projects/katefgroup/language_grounding/VG/images/1.jpg,bike parked on sidewalk,"[561, 268, 764, 475]",tensor(0.)
/projects/katefgroup/language_grounding/VG/images/1.jpg,car parked on street,"[715, 335, 804, 506]",tensor(0.8729)
/projects/katefgroup/language_grounding/VG/images/1.jpg,bike on sidewalk,"[561, 268, 764, 475]",tensor(0.)
/projects/katefgroup/language_grounding/VG/images/1.jpg,man wearing shirt,"[229, 273, 292, 498]",tensor(0.7630)
/projects/katefgroup/language_grounding/VG/images/1.jpg,bike near tree,"[561, 268, 764, 475]",tensor(0.)
/projects/katefgroup/language_grounding/VG/images/1.jpg,man wearing shoe,"[359, 251, 472, 512]",tensor(0.6416)
/projects/katefgroup/language_grounding/VG/images/1.jpg,bike near tree,"[561, 268, 764, 475]",tensor(0.)
/projects/katefgroup/language_grounding/VG/images/1.jpg,shirt on man,"[229, 273, 292, 498]",tensor(0.3924)
/projects/katefgroup/language_grounding/VG/images/1.jpg,man wearing glass,"[359, 251, 472, 512]",tensor(0.)
/projects/katefgroup/language_grounding/VG/images/1.jpg,man in shirt,"[229, 273, 292, 498]",tensor(0.7630)
/projects/katefgroup/language_grounding/VG/images/1.jpg,man wearing pant,"[359, 251, 472, 512]",tensor(0.)
/projects/katefgroup/language_grounding/VG/images/1.jpg,tree near street,"[568, 6, 815, 599]",tensor(0.2742)
/projects/katefgroup/language_grounding/VG/images/1.jpg,man wearing glass,"[359, 251, 472, 512]",tensor(0.)
/projects/katefgroup/language_grounding/VG/images/1.jpg,bike behind man,"[561, 268, 764, 475]",tensor(0.)
/projects/katefgroup/language_grounding/VG/images/1.jpg,tree near sidewalk,"[568, 6, 815, 599]",tensor(0.2742)
/projects/katefgroup/language_grounding/VG/images/1.jpg,man wearing shirt,"[229, 273, 292, 498]",tensor(0.)
/projects/katefgroup/language_grounding/VG/images/1.jpg,building with window,"[133, 38, 248, 410]",tensor(0.2585)
/projects/katefgroup/language_grounding/VG/images/3.jpg,girl has hair,"[518, 76, 633, 262]",tensor(0.6962)
/projects/katefgroup/language_grounding/VG/images/3.jpg,bag on table,"[569, 293, 647, 405]",tensor(0.7042)
/projects/katefgroup/language_grounding/VG/images/3.jpg,girl has hair,"[518, 76, 633, 262]",tensor(0.6962)
